# t, y1_x, y1_y, y1_z, y2_x, y2_y, y2_z, w_x, w_y, w_z, q_true_1, q_true_2, q_true_3, q_true_4   | dt=0.05  r1=[1,0,0]  r2=[0,1,0]  true bias=[0.005,-0.003,0.002]  meas_noise=0.01  sigma_v=0.01
0.00000000,1.00304717,-0.01039984,0.00750451,0.00940565,0.98048965,-0.01302180,0.01071720,-0.02714280,0.02649276,0.00000000,0.00000000,0.00000000,1.00000000
0.05000000,0.99146864,0.00753141,0.00727792,0.00192288,1.01127162,0.00467365,-0.03337873,0.00349105,-0.01562221,0.00000056,-0.00025000,0.00063129,0.99999977
0.10000000,1.00878081,-0.00302521,-0.00284861,-0.00428335,1.01222222,-0.00155131,-0.01405540,-0.02874785,0.05108209,0.00000237,-0.00050000,0.00126298,0.99999908
0.15000000,1.00364613,0.00033719,0.00280825,0.02520660,0.99592867,-0.00513614,-0.03124302,0.01454754,0.07778182,0.00000544,-0.00074999,0.00189507,0.99999792
0.20000000,0.99884575,-0.01345670,-0.01024472,0.01156102,1.00741976,0.00540699,-0.02456250,-0.00261725,0.03252711,0.00000975,-0.00099998,0.00252757,0.99999631
0.25000000,1.00216378,0.00239335,-0.00026387,0.01311000,1.00065581,0.00285267,0.03348206,-0.07816571,0.01302873,0.00001531,-0.00124997,0.00316047,0.99999422
0.30000000,0.99526299,-0.01397632,-0.00575113,0.02253682,0.99131290,0.00962716,-0.06996024,-0.02797611,0.03461947,0.00002212,-0.00149995,0.00379377,0.99999168
0.35000000,1.00581689,-0.00174269,0.00443395,0.00536749,0.99533728,0.00850390,-0.00320541,-0.07004988,-0.02332517,0.00003018,-0.00174992,0.00442747,0.99998867
0.40000000,0.99074624,-0.00515156,-0.00257504,0.01702771,0.99567623,0.00148617,0.03337723,-0.02683368,0.04780060,0.00003949,-0.00199988,0.00506158,0.99998519
0.45000000,0.99330573,-0.01502272,-0.00831637,-0.00056666,1.00480483,-0.00481975,0.00600872,0.00850056,0.04735847,0.00005005,-0.00224982,0.00569609,0.99998125
0.50000000,1.00656119,-0.01364685,-0.00923160,0.01186420,0.98304649,-0.01462648,-0.05365298,-0.05759711,0.04528340,0.00006185,-0.00249976,0.00633099,0.99997683
0.55000000,0.99083303,-0.01771424,0.00749413,0.01036915,1.00727809,-0.00952430,-0.00363752,-0.05548492,0.01225888,0.00007491,-0.00274968,0.00696629,0.99997195
0.60000000,1.00826951,-0.03247723,-0.00165337,0.01758031,0.99394290,-0.01468460,0.00882564,-0.03667801,0.03784241,0.00008921,-0.00299958,0.00760200,0.99996660
0.65000000,1.00006167,-0.00045844,-0.00889051,0.00623989,1.00165700,0.00193691,0.06643460,0.02434921,0.04341247,0.00010476,-0.00324947,0.00823810,0.99996078
