t,q_1,q_2,q_3,q_4,P_theta_x,P_theta_y,P_theta_z,P_beta_x,P_beta_y,P_beta_z,q_true_1,q_true_2,q_true_3,q_true_4,b_x,b_y,b_z,b_true_x,b_true_y,b_true_z
5.000000000000000000e-01,5.470077338130899247e-02,-2.610075894981995527e-03,6.620212998609871112e-04,9.984991610527811368e-01,2.875093488219692626e-05,2.866746213099164860e-05,2.070195150370618926e-05,8.515647253640867961e-05,8.514018033937116397e-05,7.965211334126206448e-05,4.997917000000000332e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.987502600000000008e-01,-2.374546270056663612e-03,1.247025941593676477e-04,3.076649402454599905e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
5.500000000000000444e-01,6.068819335104210649e-02,-1.684946783231404529e-03,5.350065205911278573e-05,9.981553492717474274e-01,2.876540468557387315e-05,2.866092862216510214e-05,2.070591314149204266e-05,8.250573242064627815e-05,8.248469013831275453e-05,7.681365299512528226e-05,5.497226999999999669e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.984878799999999943e-01,-3.672424715301519926e-03,-2.406142291366508614e-03,3.329455727703883525e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
5.999999999999999778e-01,6.754255149779800349e-02,-1.556139550541008618e-03,1.733245290762099522e-03,9.977136753736659536e-01,2.877410272274324077e-05,2.864469531215095343e-05,2.070082116984271403e-05,7.985547173862193426e-05,7.982958330526290758e-05,7.409352164411598827e-05,5.996400000000000341e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.982005400000000250e-01,-5.624568205195619106e-03,-3.408306629108688156e-03,1.417327386754645580e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
6.500000000000000222e-01,7.343919986998002913e-02,-4.595758277190143044e-04,-2.773325554892280007e-04,9.972995516890444945e-01,2.876891047698269317e-05,2.860539881101139406e-05,2.069524246623318157e-05,7.724379545322102492e-05,7.721278419245093054e-05,7.150697470737247489e-05,6.495423000000000169e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.978882399999999819e-01,-4.550040210603004641e-03,-3.487312989420366608e-03,4.601657386342729826e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
6.999999999999999556e-01,8.019875173497408027e-02,-1.378209111524602085e-03,-1.722430602724563456e-03,9.967764513634016499e-01,2.874744016794408339e-05,2.855376782222776425e-05,2.067965470629743921e-05,7.469883298200948171e-05,7.466379734234369361e-05,6.905824266669983319e-05,6.994284000000000612e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.975509999999999655e-01,-5.561538968927817739e-03,-2.516523615202446388e-03,4.228691296623564820e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
7.500000000000000000e-01,8.212290925488123505e-02,-2.345429570506723897e-03,1.452650103921629865e-04,9.966194387195750348e-01,2.871049052320991197e-05,2.849242690634352536e-05,2.065470247033475215e-05,7.223984529374242926e-05,7.220044212939449012e-05,6.674834592327269793e-05,7.492970000000000186e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.971888199999999758e-01,-2.886411717627732163e-03,-4.365813262500779432e-03,2.120649250552399199e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
8.000000000000000444e-01,8.624599462374919756e-02,-3.535716552028179624e-03,-1.644309990217205373e-03,9.962662412048698402e-01,2.866045428736574814e-05,2.841902442741338673e-05,2.062708400045343095e-05,6.987904193182621561e-05,6.983733693960165589e-05,6.457080720952609594e-05,7.991468999999999656e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.968017099999999520e-01,-1.840339717553585641e-03,-4.114169786946580802e-03,1.925611023889805965e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
8.499999999999999778e-01,9.013409084691471895e-02,-1.687204588451482511e-03,-1.832196101872003366e-03,9.959265244310550047e-01,2.859993184969639003e-05,2.834099622413442589e-05,2.059331673711320583e-05,6.762310725150055401e-05,6.757936057010472330e-05,6.252056661119740526e-05,8.489768000000000314e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.963896800000000553e-01,-1.913299361918248875e-03,-7.429128950273496297e-03,1.281879389225056357e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
9.000000000000000222e-01,9.443073005139444864e-02,-3.834664002209282343e-04,-1.999561558541021987e-03,9.955293526205313270e-01,2.853203275227252011e-05,2.824703317178403411e-05,2.056792943802192238e-05,6.547463631125609025e-05,6.542851823889684856e-05,6.059050123823546158e-05,8.987854000000000676e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.959527299999999528e-01,-1.144474234947954246e-03,-8.805296764999283321e-03,7.645435501688523311e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
9.499999999999999556e-01,9.803947683873065477e-02,-1.856683184058653766e-03,-1.692088428872242853e-03,9.951793559683052015e-01,2.845874904199184791e-05,2.814554320475290953e-05,2.054586501488327369e-05,6.343316455034723924e-05,6.338502344739456961e-05,5.877200050737612258e-05,9.485715999999999593e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.954908900000000171e-01,7.450712691718175754e-04,-7.216340557462888258e-03,7.328100823353289562e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
