x,vx,y,vy,z,vz
2.9733069698484109,0.14829461936799959,0,0,0,0
2.9915190763322013,0.19571364272319272,0,0,0,0
3.0006368529613061,0.19105576871668783,0,0,0,0
3.0049794827777423,0.15560883287370655,0,0,0,0
3.0064616484259141,0.11820088410011148,0,0,0,0
3.0066519461578656,0.088975072388283172,0,0,0,0
3.0063588669207615,0.067957349861162267,0,0,0,0
3.0059203327214714,0.053017895062898092,0,0,0,0
3.0054657597342729,0.042261015348787678,0,0,0,0
3.0050408424496688,0.034355166620806704,0,0,0,0
3.0046586303412126,0.028416762554143986,0,0,0,0
3.0043197888994895,0.023862830838853738,0,0,0,0
3.0040206418856275,0.020303988204022246,0,0,0,0
3.0037563565244731,0.017475261243260237,0,0,0,0
3.0035221676066275,0.015192631248259756,0,0,0,0
3.0033138013615206,0.013325708341558645,0,0,0,0
3.0031275752300441,0.011780328641917727,0,0,0,0
3.0029603722166232,0.010487278244179344,0,0,0,0
3.0028095730836544,0.0093948491794023127,0,0,0,0
3.0026729806345656,0.0084638323832953478,0,0,0,0
3.0025487492880498,0.0076640885889849939,0,0,0,0
3.0024353241535038,0.0069721594548188453,0,0,0,0
3.0023313900930813,0.0063695765317344447,0,0,0,0
3.0022358298417569,0.0058416462235502779,0,0,0,0
3.0021476898422983,0.0053765645538784426,0,0,0,0
3.0020661524511589,0.0049647638405032526,0,0,0,0
3.0019905133230749,0.0045984247023707799,0,0,0,0
3.0019201629731089,0.004271107466021877,0,0,0,0
3.0018545716983875,0.003977470845423008,0,0,0,0
3.0017932772014095,0.0037130551365283262,0,0,0,0
3.0017358743891966,0.0034741136089084042,0,0,0,0
3.0016820069295829,0.0032574802619842261,0,0,0,0
3.0016313602313396,0.0030604652741723633,0,0,0,0
3.0015836555824587,0.0028807717258779141,0,0,0,0
3.0015386452343189,0.0027164287998231421,0,0,0,0
3.0014961082616094,0.0025657378426842512,0,0,0,0
3.0014558470611648,0.0024272285390411538,0,0,0,0
3.0014176843792368,0.0022996230911840367,0,0,0,0
3.0013814607776408,0.0021818067785480495,0,0,0,0
3.0013470324658793,0.0020728036323587086,0,0,0,0
3.0013142694396859,0.0019717562357518034,0,0,0,0
3.0012830538771009,0.0018779088696782922,0,0,0,0
3.001253278751816,0.0017905933866360589,0,0,0,0
3.0012248466304881,0.0017092173196169142,0,0,0,0
3.0011976686263688,0.0016332538314120988,0,0,0,0
3.0011716634862196,0.0015622331861115039,0,0,0,0
3.0011467567912309,0.0014957354851409558,0,0,0,0
3.0011228802557879,0.0014333844581828734,0,0,0,0
3.001099971110448,0.0013748421376014355,0,0,0,0
3.0010779715576312,0.0013198042756671,0,0,0,0
3.0010568282902637,0.0012679963885724515,0,0,0,0
3.0010364920650776,0.0012191703312086142,0,0,0,0
3.0010169173234909,0.0011731013229008868,0,0,0,0
3.000998061854018,0.0011295853575422528,0,0,0,0
3.0009798864910144,0.0010884369424088134,0,0,0,0
3.0009623548452895,0.0010494871188592592,0,0,0,0
3.0009454330627396,0.0010125817254811212,0,0,0,0
3.000929089607661,0.00097757987034377352,0,0,0,0
3.0009132950678676,0.00094435258408622034,0,0,0,0
3.0008980219790935,0.00091278162979432226,0,0,0,0
3.000883244666499,0.00088275844915875964,0,0,0,0
3.0008689391013763,0.00085418322737296074,0,0,0,0
3.0008550827713782,0.00082696406172887366,0,0,0,0
3.0008416545628109,0.00080101622097801387,0,0,0,0
3.0008286346537085,0.00077626148431100925,0,0,0,0
3.0008160044165484,0.00075262755032519694,0,0,0,0
3.0008037463296189,0.00073004750764024912,0,0,0,0
3.0007918438961507,0.00070845935992313333,0,0,0,0
3.0007802815704347,0.00068780559902569633,0,0,0,0
3.0007690446902306,0.00066803282074615836,0,0,0,0
3.0007581194148529,0.00064909137841996992,0,0,0,0
3.0007474926683866,0.00063093507014376038,0,0,0,0
3.0007371520875439,0.00061352085595235348,0,0,0,0
3.000727085973725,0.00059680860171564237,0,0,0,0
3.0007172832488953,0.00058076084690943976,0,0,0,0
3.0007077334149281,0.00056534259375079195,0,0,0,0
3.0006984265161005,0.00055052111548114363,0,0,0,0
3.0006893531044598,0.00053626578183606558,0,0,0,0
3.0006805042078115,0.00052254789996338902,0,0,0,0
3.0006718713000966,0.00050934056924674767,0,0,0,0
3.0006634462739536,0.00049661854866289744,0,0,0,0
3.0006552214152817,0.00048435813545137142,0,0,0,0
3.0006471893796354,0.00047253705400735851,0,0,0,0
3.0006393431702993,0.00046113435402520654,0,0,0,0
3.0006316761179055,0.00045013031702289662,0,0,0,0
3.0006241818614687,0.0004395063704685644,0,0,0,0
3.0006168543307248,0.00042924500881076687,0,0,0,0
3.0006096877296695,0.00041932972078553138,0,0,0,0
3.000602676521205,0.0004097449224364158,0,0,0,0
3.0005958154128072,0.00040047589534032073,0,0,0,0
3.0005890993431339,0.00039150872958171063,0,0,0,0
3.000582523469506,0.00038283027106279191,0,0,0,0
3.0005760831561963,0.00037442807277688028,0,0,0,0
3.0005697739634578,0.0003662903497080117,0,0,0,0
3.0005635916372517,0.00035840593705164299,0,0,0,0
3.0005575320996116,0.00035076425147987121,0,0,0,0
3.0005515914396015,0.00034335525520032056,0,0,0,0
3.0005457659048309,0.00033616942258076453,0,0,0,0
3.0005400518934806,0.00032919770913231655,0,0,0,0
3.0005344459468053,0.00032243152266264106,0,0,0,0
